capability,source,producer_implementation,current_consumer,evidence,symbol_coverage,semantics,ordering,integrity,stability,kdk_consumer,gap
Trade prints (NewTrade),ATAS callback (Rithmic feed),Recorder/TradeToRawEventAdapter.cs -> RawEventEnvelope NewTradePayload,none (no .seg reader in the analysis path),raw/07 raw/08 decoded 979 NewTrade records CRC-verified,GCQ6@COMEX 53 sessions GCZ6@COMEX 1,price volume originPrice direction dataType isAsk isBid exchangeOrderId aggressorExchangeOrderId openInterest,RecorderGlobalLocalSequence + StreamLocalCaptureSequence + CallbackInvocationSequence,per-frame CRC32C + per-segment sha256 + manifest,CONFIRMED,Order Flow layer 5,no consumer reads .seg
Cumulative trade (new/update),ATAS callback,TradeToRawEventAdapter.cs CumulativeTradeNew/UpdatePayload,none,raw/07 raw/08 decoded 554 new + 2309 update,GCQ6 GCZ6,volume firstPrice lastPrice direction reportedTickCount processLocalInstanceId,same envelope sequences,same,CONFIRMED,Order Flow layer 5,ProcessLocalInstanceId is process-local only; not an exchange id
Best bid/ask (BBO),ATAS callback,DepthToRawEventAdapter.cs BestBidAskPayload,none,raw/08 decoded 9862 records,GCQ6,bidPrice bidVolume askPrice askVolume,same envelope sequences,same,CONFIRMED,layer 6 microstructure,not yet cross-checked against Depth book state
DOM / market depth,ATAS callback,DepthToRawEventAdapter.cs DepthPayload,none,raw/08 decoded 35025 Depth records,GCQ6,price volume rawDataType isBid isAsk derivedSide updateAction,same envelope sequences,same,PARTIAL,layer 6 microstructure,updateAction is literally "Unknown" on 35025/35025 - New/Change/Delete NOT recoverable
DOM declared but absent,ATAS callback,TradeRecorderHost.cs enabledStreams,none,raw/07 - 2 curated sessions declare Trade+Dom and contain 0 Depth records,GCQ6,n/a,n/a,n/a,CONFIRMED DEFECT,none,declared-vs-actual mismatch needs a manifest-vs-payload validator
MBO / order-level events,ATAS callback,Recorder/MboToRawEventAdapter.cs Mbo payload,none,raw/08 decoded 24413 Mbo records CRC-verified 0 errors,GCQ6 (4 of 28 MBO sessions decoded),exchangeOrderId priority price volume derivedSide rawSideName rawSideNumeric rawTypeName rawTypeNumeric rawTypeIsKnownEnumMember interpretedLifecycleAction snapshotCompletionKnown,envelope sequences; native sequence availability NOT measured,per-frame CRC + sha256; lifecycleIntegrityRecordCount = 0 on every segment,PRESENT_AND_SUBSTANTIAL / COMPLETENESS_UNPROVEN,Order Flow layer 5-6 (not authorised),no lifecycle reconciliation; snapshot completeness untabulated; 24 of 28 sessions undecoded
Order id and queue priority,ATAS callback,MboToRawEventAdapter.cs,none,raw/08 field shapes include exchangeOrderId and priority,GCQ6,present on Mbo payloads,n/a,n/a,CONFIRMED PRESENT,prerequisite for queue-position work,presence is not sufficiency - completeness unproven
Snapshot vs incremental,ATAS callback,RawEventPayloadKind DomSnapshotRequest/Item/LocalEnumerationResult; snapshotCompletionKnown on Mbo,none,enum RecorderEnums.cs:27-41; 0 DomSnapshot* records in the decoded set,GCQ6,snapshot kinds exist in schema,n/a,ProviderSnapshotCompletionUnknown is a defined integrity flag,UNVERIFIED,layer 1 data integrity,no DomSnapshot* record decoded; distribution not tabulated
Native / provider sequence,ATAS callback,RawEventEnvelope.NativeSequenceAvailable + RecorderIntegrityFlags.NativeSequenceAbsent,none,field exists in envelope; distribution NOT measured,-,boolean per record,-,flag defined,UNVERIFIED,layer 1 data integrity,must be tabulated before any completeness claim
Three clock domains,ATAS callback,RawEventEnvelope SourceTimeTicks+Kind / CallbackReceiveUtc / WriterDequeuedUtc,none,RawEventEnvelope.cs:135-138,all sessions,venue vs ingress vs persistence kept separate,-,SourceTimeKindUnspecified flag,CONFIRMED,layer 1 data integrity ODR-L1-03,already better than the L1-03 model assumed
Contract epoch / roll,ATAS callback,RawEventEnvelope.ContractEpoch; manifest contractEpochs,none,manifest field present on all 54,GCQ6->GCZ6 observed,integer epoch per session,-,ContractIdentityChanged flag,CONFIRMED,WP-L1-04 Contract/Roll,epoch exists but roll classifier still absent
Instrument / security definition,ATAS callback,ObservedInstrumentIdentity via manifest lastInstrument,none,manifest on all 54,GCQ6@COMEX GCZ6@COMEX,securityCode securityId exchange contractExpiration tickSize identityKey,-,-,CONFIRMED,layer 1,single instrument per session only
Recorder provenance,ATAS callback,ManifestWriter.cs SessionManifestRecord,none,54 manifests,all,declaredDataSourceMode+modeProvenance declaredProvider+providerProvenance,-,-,CONFIRMED,Task D provenance requirement,already satisfied by producer; no validator in GC.AuctionFlow
Segment integrity,recorder,SegmentWriter + ManifestWriter sha256Hex,RecoveryScanner SegmentReader,489/489 sidecars verify raw/03,all,per-segment sha256 + per-frame CRC32C,firstWriterSequence/lastWriterSequence per segment,0 writer-sequence discontinuities across 290 segments,CONFIRMED,layer 1,episode-dataset.jsonl and instrument_master have NO sidecar
